frame,model,checkpoint,n_frames,det_rate_at_conf,mean_top1_conf,median_top1_conf,weird_box_rate,high_conf_weird_rate,box_jump_rate,max_bad_streak,max_good_streak,mean_good_streak_len,num_good_streaks,mean_inference_latency_ms,p90_inference_latency_ms,composite_score,promotion_score
500,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.9679999947547913,0.831460177898407,0.9700170755386353,0.27799999713897705,0.12999999523162842,0.1379999965429306,51.0,129.0,17.57894736842105,19.0,12.188299211502075,12.815664291381836,0.6875000011622906,0.6875000011622906
500,shadow,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_000500.pt,500.0,0.8519999980926514,0.7970519661903381,0.9765530228614807,0.16599999368190765,0.01600000075995922,0.07599999755620956,59.0,177.0,39.3,10.0,12.188542119979859,12.868972778320312,0.7630000027045607,0.7630000027045607
1000,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.8740000128746033,0.6820623278617859,0.7899940609931946,0.5899999737739563,0.2800000011920929,0.1459999978542328,147.0,44.0,8.157894736842104,19.0,12.20664522743225,12.805055618286133,0.0795000270009041,0.0795000270009041
1000,shadow,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_001000.pt,500.0,0.8059999942779541,0.6256435513496399,0.6978610157966614,0.5120000243186951,0.09000000357627869,0.09600000083446503,110.0,97.0,11.823529411764707,17.0,12.26681477355957,12.765442848205566,0.30999997970461846,0.30999997970461846
1500,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.9279999732971191,0.851825475692749,0.9844951033592224,0.02199999988079071,0.0,0.02199999988079071,15.0,238.0,42.0,11.0,12.315074876785278,12.903276443481445,1.1084999734461307,1.1084999734461307
1500,shadow,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_001500.pt,500.0,0.9399999976158142,0.8871696591377258,0.9974229335784912,0.012000000104308128,0.0,0.017999999225139618,13.0,411.0,46.7,10.0,12.296247365951539,12.844514846801758,1.3054999981448054,1.3054999981448054
2000,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.8500000238418579,0.6600911021232605,0.7584065198898315,0.6759999990463257,0.2759999930858612,0.15199999511241913,88.0,49.0,9.692307692307692,13.0,12.426158729553222,13.132307052612305,0.13300003144145012,0.13300003144145012
2000,shadow,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_002000.pt,500.0,0.4580000042915344,0.3796016573905945,0.1520635187625885,0.414000004529953,0.019999999552965164,0.21199999749660492,139.0,117.0,18.25,8.0,12.485888711929322,13.22200870513916,-0.07899999587237837,-0.07899999587237837
2500,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.7979999780654907,0.7006451487541199,0.9469242095947266,0.11599999666213989,0.024000000208616257,0.1120000034570694,36.0,146.0,13.461538461538462,26.0,12.342158788681031,13.00146198272705,0.7179999770373106,0.7179999770373106
2500,shadow,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_002500.pt,500.0,0.7820000052452087,0.7139840126037598,0.9886927604675293,0.01600000075995922,0.0,0.03200000151991844,25.0,161.0,19.45,20.0,12.334860471725463,13.001362800598145,0.8610000037252903,0.8610000037252903
3000,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.9240000247955322,0.735617458820343,0.8463026285171509,0.6980000138282776,0.3499999940395355,0.10599999874830246,131.0,104.0,16.25,8.0,12.039809597015381,12.576364517211914,0.16250002180039883,0.16250002180039883
3000,shadow,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_003000.pt,500.0,0.5260000228881836,0.4460065960884094,0.3075525760650635,0.5879999995231628,0.05400000140070915,0.15199999511241913,116.0,107.0,19.0,8.0,12.161594625473022,12.584745407104492,-0.03399997390806676,-0.03399997390806676
3500,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.7720000147819519,0.6940044164657593,0.9185609817504883,0.06599999964237213,0.004000000189989805,0.09000000357627869,29.0,132.0,17.666666666666668,21.0,12.922935750961305,13.51632308959961,0.7435000121835619,0.7435000121835619
3500,shadow,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_003500.pt,500.0,0.7699999809265137,0.6776050925254822,0.9443873763084412,0.006000000052154064,0.0,0.02199999988079071,26.0,143.0,23.875,16.0,12.966978713989258,13.51119327545166,0.8414999809898436,0.8414999809898436
4000,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.9340000152587891,0.75774085521698,0.864202618598938,0.5400000214576721,0.2199999988079071,0.18000000715255737,179.0,127.0,12.5,16.0,11.411296951293945,12.089584350585938,0.18799999976158144,0.18799999976158144
4000,shadow,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_004000.pt,500.0,0.8560000061988831,0.6592900156974792,0.6902033686637878,0.4000000059604645,0.017999999225139618,0.11999999731779099,61.0,145.0,18.066666666666666,15.0,11.608122692108154,12.223862648010254,0.5800000056177378,0.5800000056177378
4500,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.7940000295639038,0.6466702222824097,0.7353860139846802,0.34200000762939453,0.09000000357627869,0.1459999978542328,93.0,77.0,8.642857142857142,28.0,12.320901056289673,12.792265892028809,0.3595000255703926,0.3595000255703926
4500,shadow,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_004500.pt,500.0,0.5920000076293945,0.548167884349823,0.6158461570739746,0.18000000715255737,0.0,0.06800000369548798,91.0,135.0,12.695652173913043,23.0,12.374372621536255,12.907660484313965,0.4040000012814999,0.4040000012814999
5000,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.9399999976158142,0.8070732951164246,0.9616641998291016,0.4000000059604645,0.17399999499320984,0.1080000028014183,152.0,168.0,23.166666666666668,12.0,11.787195974349975,12.35495376586914,0.4359999950379133,0.4359999950379133
5000,shadow,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_005000.pt,500.0,0.7120000123977661,0.6808550953865051,0.9848905205726624,0.26600000262260437,0.029999999329447746,0.16200000047683716,80.0,182.0,18.235294117647058,17.0,11.768532373428345,12.38913631439209,0.46450001106411215,0.46450001106411215
5500,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.7620000243186951,0.6143986582756042,0.725470781326294,0.34599998593330383,0.14800000190734863,0.164000004529953,122.0,55.0,7.363636363636363,33.0,12.519569541931153,13.11341667175293,0.20300002700090408,0.20300002700090408
5500,shadow,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_005500.pt,500.0,0.7020000219345093,0.6172859072685242,0.8047547936439514,0.20200000703334808,0.0,0.10400000214576721,42.0,148.0,18.11111111111111,18.0,12.478542545318604,13.099702835083008,0.5870000168085098,0.5870000168085098
6000,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.9419999718666077,0.8428521752357483,0.9844615459442139,0.22599999606609344,0.03799999877810478,0.1120000034570694,42.0,136.0,30.25,12.0,11.881736148834229,12.588268280029297,0.7779999718517066,0.7779999718517066
6000,shadow,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_006000.pt,500.0,0.8159999847412109,0.7900123000144958,0.9950808882713318,0.15399999916553497,0.0,0.07999999821186066,65.0,149.0,43.111111111111114,9.0,11.73816149520874,12.429033279418945,0.697999986499548,0.697999986499548
6500,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.8539999723434448,0.6980631351470947,0.8338096141815186,0.5619999766349792,0.34599998593330383,0.12600000202655792,145.0,79.0,9.052631578947368,19.0,12.092962251663208,12.801331520080566,0.09449998953938486,0.09449998953938486
6500,shadow,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_006500.pt,500.0,0.7580000162124634,0.5555544495582581,0.582980751991272,0.46399998664855957,0.03400000184774399,0.12600000202655792,130.0,136.0,16.75,12.0,12.206687545776367,12.867216110229492,0.29050002044439316,0.29050002044439316
