checkpoint_index,checkpoint_frame,checkpoint,model_kind,eval_start_frame,eval_end_frame,active_reference_checkpoint,n_frames,det_rate_at_conf,mean_top1_conf,median_top1_conf,weird_box_rate,high_conf_weird_rate,box_jump_rate,max_bad_streak,max_good_streak,mean_good_streak_len,num_good_streaks,mean_inference_latency_ms,p90_inference_latency_ms,composite_score,promotion_score,checkpoint_size_mb,peak_cuda_allocated_mb,peak_cuda_reserved_mb,peak_memory_mb,active_ref_det_rate_delta,active_ref_composite_delta,active_ref_weird_delta,active_ref_box_jump_delta,active_ref_bad_streak_delta,active_ref_good_streak_delta,edge_feasible
1,500,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_000500.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.8519999980926514,0.7971025109291077,0.9765726923942566,0.16599999368190765,0.01600000075995922,0.07599999755620956,59.0,177.0,39.3,10.0,12.195315906524659,12.908327102661133,0.7630000027045607,0.7630000027045607,5.913121223449707,95.6435546875,126.0,126.0,-0.11599999666213989,0.0755000015422701,-0.1120000034570694,-0.06199999898672104,8.0,48.0,1
2,1000,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_001000.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.9419999718666077,0.8095363974571228,0.919754147529602,0.20399999618530273,0.012000000104308128,0.06199999898672104,78.0,235.0,55.285714285714285,7.0,12.329120178222656,13.08425235748291,0.8664999744817614,0.8664999744817614,5.913121223449707,95.6435546875,126.0,126.0,-0.026000022888183594,0.17899997331947082,-0.07400000095367432,-0.07599999755620956,27.0,106.0,1
3,1500,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_001500.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.9459999799728394,0.8354276418685913,0.9917380809783936,0.21799999475479126,0.03799999877810478,0.07999999821186066,51.0,159.0,30.833333333333332,12.0,12.427744018554687,13.233887672424316,0.8149999845474959,0.8149999845474959,5.913121223449707,95.6435546875,126.0,126.0,-0.022000014781951904,0.1274999833852053,-0.06000000238418579,-0.057999998331069946,0.0,30.0,1
4,2000,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_002000.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.8140000104904175,0.6930888295173645,0.8376465439796448,0.17000000178813934,0.012000000104308128,0.09799999743700027,56.0,167.0,19.77777777777778,18.0,12.45351961517334,13.280854225158691,0.7045000114664436,0.7045000114664436,5.913121223449707,95.6435546875,126.0,126.0,-0.15399998426437378,0.01700001030415299,-0.10799999535083771,-0.03999999910593033,5.0,38.0,1
5,2500,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_002500.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.8119999766349792,0.7836175560951233,0.987878143787384,0.12800000607967377,0.0,0.06599999964237213,58.0,233.0,49.125,8.0,12.32849440383911,13.097001075744629,0.8154999738633633,0.8154999738633633,5.913121223449707,95.6435546875,126.0,126.0,-0.156000018119812,0.12799997270107266,-0.14999999105930328,-0.07199999690055847,7.0,104.0,1
6,3000,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_003000.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.8220000267028809,0.7372321486473083,0.9463139772415161,0.20200000703334808,0.006000000052154064,0.1340000033378601,56.0,158.0,17.4,20.0,12.378558994293213,13.10291862487793,0.6635000206567347,0.6635000206567347,5.913121223449707,95.6435546875,126.0,126.0,-0.1459999680519104,-0.02399998050555585,-0.07599999010562897,-0.003999993205070496,5.0,29.0,1
7,3500,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_003500.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.8460000157356262,0.7693802714347839,0.9592385292053223,0.20600000023841858,0.0,0.052000001072883606,83.0,163.0,54.142857142857146,7.0,12.404326000213622,13.117318153381348,0.7010000148117542,0.7010000148117542,5.913121223449707,95.6435546875,126.0,126.0,-0.12199997901916504,0.013500013649463627,-0.07199999690055847,-0.085999995470047,32.0,34.0,1
8,4000,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_004000.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.9440000057220459,0.7703931927680969,0.8696391582489014,0.27399998903274536,0.0560000017285347,0.12399999797344208,68.0,169.0,19.58823529411765,17.0,12.412388545989991,13.22697639465332,0.7190000118613243,0.7190000118613243,5.913121223449707,95.6435546875,126.0,126.0,-0.02399998903274536,0.03150001069903374,-0.0040000081062316895,-0.013999998569488525,17.0,40.0,1
9,4500,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_004500.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.9300000071525574,0.8553143739700317,0.9922305345535278,0.19599999487400055,0.04800000041723251,0.04800000041723251,77.0,235.0,55.42857142857143,7.0,12.334137159347534,13.11524772644043,0.8530000091940164,0.8530000091940164,5.913121223449707,95.6435546875,126.0,126.0,-0.03799998760223389,0.16550000803172582,-0.0820000022649765,-0.08999999612569809,26.0,106.0,1
10,5000,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_005000.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.8199999928474426,0.7734755277633667,0.9842247366905212,0.14800000190734863,0.0,0.09600000083446503,58.0,171.0,32.25,12.0,12.34062859916687,13.104432106018066,0.7289999912679196,0.7289999912679196,5.913121223449707,95.6435546875,126.0,126.0,-0.14800000190734863,0.04149999010562899,-0.12999999523162842,-0.041999995708465576,7.0,42.0,1
11,5500,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_005500.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.9679999947547913,0.8844221234321594,0.9898010492324829,0.1720000058412552,0.04600000008940697,0.03799999877810478,78.0,235.0,39.4,10.0,12.275081935882568,12.911206245422363,0.9094999927058816,0.9094999927058816,5.913121223449707,95.6435546875,126.0,126.0,0.0,0.22199999154359096,-0.10599999129772186,-0.09999999776482582,27.0,106.0,1
12,6000,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_006000.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.871999979019165,0.8318239450454712,0.9942415952682495,0.1340000033378601,0.019999999552965164,0.07400000095367432,39.0,174.0,28.142857142857142,14.0,12.264696048736573,12.82164192199707,0.8354999768584968,0.8354999768584968,5.913121223449707,95.6435546875,126.0,126.0,-0.09600001573562622,0.14799997569620615,-0.14399999380111694,-0.06399999558925629,-12.0,45.0,1
13,6500,/home/hm25936/mae/odad/shadow_manager_odad_active_full_diagnostic/checkpoints/shadow_frame_006500.pt,shadow_checkpoint,0,499,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.9599999785423279,0.8343002796173096,0.9464519023895264,0.20800000429153442,0.026000000536441803,0.06199999898672104,83.0,224.0,54.714285714285715,7.0,12.288245651245116,12.866591453552246,0.8544999768882989,0.8544999768882989,5.913121223449707,95.6435546875,126.0,126.0,-0.008000016212463379,0.16699997572600833,-0.06999999284744263,-0.07599999755620956,32.0,95.0,1
